country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
Laos,Southeast Asia,Asia,country,20.0171109,103.378253,29270,2018,7061498,4.15,0.35,0,0,0,0,0.65,0,0,0,0,0,1,0
Lebanon,Middle East,Asia,country,33.8750629,35.843409,33790,2016,6714281,5.03,0,0.98,0,0,0,0.02,0,0,0,0,0,1,0
Liberia,Sub-Saharan Africa,Africa,country,5.7499721,-9.3658524,9200,2018,4818976,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Libya,North Africa,Africa,country,26.8234472,18.1236723,103040,2018,6678565,15.43,0,0.38,0.62,0,0,0,0,0,0,0,0,1,0
St. Lucia,Caribbean,North America,country,13.8250489,-60.975036,740,2018,181890,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Liechtenstein,Central Europe and Baltics,Europe,country,47.1416307,9.5531527,260,1998,32306,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Sri Lanka,South Asia,Asia,country,7.5554942,80.7137847,35240,2018,21670000,1.63,0.32,0.39,0,0,0,0.25,0,0.01,0.02,0,0,1,0
Lesotho,Sub-Saharan Africa,Africa,country,-29.6039267,28.3350193,5850,2018,2108327,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Lithuania,Central Europe and Baltics,Europe,country,55.3500003,23.7499997,18840,2018,2801543,6.72,0,0.04,0.17,0,0,0.17,0,0.02,0.38,0.16,0.07,1,0
Luxembourg,Western Europe,Europe,country,49.8158683,6.1296751,10220,2018,607950,16.81,0,0,0.25,0,0,0.1,0,0.12,0.26,0.28,0,1,0
Latvia,Central Europe and Baltics,Europe,country,56.8406494,24.7537645,11660,2018,1927174,6.05,0,0,0.27,0,0,0.58,0,0,0.02,0.12,0,1,0
"Macao SAR, China",East Asia,Asia,country,22.3103085,113.9398901,547,1981,243373,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Morocco,North Africa,Africa,country,31.1728205,-7.3362482,94290,2018,36029089,2.62,0.53,0.11,0.18,0,0,0.04,0,0,0.09,0.01,0.04,1,0
Moldova,"Eastern Europe, Balkans, Caucasus",Europe,country,47.2879608,28.5670941,13180,2018,2708214,4.87,0,0,0.93,0,0,0.06,0,0,0,0,0,1,0
Madagascar,Sub-Saharan Africa,Africa,country,-18.9249604,46.4416422,30570,2018,26262313,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Maldives,South Asia,Asia,country,4.7064352,73.3287853,1390,2013,415592,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Mexico,North America,North America,country,23.6585116,-102.0077097,679880,2018,126190782,5.39,0.1,0.12,0.59,0,0.03,0.1,0.02,0,0.03,0.01,0,1,0
Marshall Islands,Oceania,Oceania,country,8.9995549,168.0002575,220,2017,58053,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
North Macedonia,"Eastern Europe, Balkans, Caucasus",Europe,country,41.6171214,21.7168387,10510,2018,2076217,5.06,0.6,0.02,0.15,0,0,0.2,0,0,0.02,0.01,0,1,0
Mali,Sub-Saharan Africa,Africa,country,16.3700359,-2.2900239,43740,2018,19077755,2.29,0,0.56,0,0,0,0.42,0,0,0,0.02,0,1,0
Malta,Central Europe and Baltics,Europe,country,35.8885993,14.4476911,2040,2018,484630,4.21,0,0.12,0.78,0,0,0,0,0.09,0,0.01,0,1,0
Myanmar,Southeast Asia,Asia,country,17.1750495,95.9999652,119650,2018,53708318,2.23,0.06,0,0.37,0,0,0.56,0,0,0,0,0,1,0
Montenegro,"Eastern Europe, Balkans, Caucasus",Europe,country,42.9868853,19.5180992,2590,1998,607662,4.26,0.55,0,0,0,0,0.41,0,0,0.04,0,0,1,0
