name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Djibouti,Sub-Saharan Africa,Africa,country,11.8145966,42.8453061,1480,2018,958923,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720000,0,190000,180000,20000,140000,70000,70000,0,90000,320000,710000,0,190000,180000,20000,140000,40000,70000,0,90000,320000,710000,0,200000,190000,30000,150000,50000,80000,0,90000,340000,,
Dominica,Caribbean,North and Central America,country,19.0974031,-70.3028026,240,2018,71626,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,-10000,30000,0,10000,60000,100000,10000,0,10000,10000,40000,-10000,30000,0,10000,60000,90000,10000,0,10000,10000,40000,-10000,30000,0,10000,60000,90000,10000,0,10000,10000,,
Denmark,Nordic Countries,Europe,country,55.670249,10.3333283,45870,2018,5793636,7.92,0.2,0.01,0.06,0,0,0,0,0.02,0.48,0.23,0,10510000,860000,930000,1820000,3550000,12220000,13880000,2880000,330000,2210000,4920000,10470000,860000,900000,1870000,3720000,12460000,11520000,2800000,330000,2100000,4570000,10220000,860000,880000,1820000,3670000,12660000,11500000,2770000,300000,2060000,4890000,,
Dominican Republic,Caribbean,North and Central America,country,19.0974031,-70.3028026,39060,2018,10627147,3.68,0.13,0.43,0.29,0,0,0.12,0,0.01,0.02,0.01,0,8870000,-1560000,2610000,3060000,3190000,6630000,10950000,1560000,120000,800000,1550000,9030000,-1560000,2640000,3160000,3200000,6510000,10030000,1540000,110000,780000,1680000,9220000,-1560000,2680000,3260000,3120000,7170000,11140000,1560000,110000,800000,1700000,,
Algeria,North Africa,Africa,country,28.0000272,2.9999825,218910,2018,42228415,5.18,0,0,0.99,0,0,0,0,0.01,0,0,0,12430000,240000,13940000,16810000,10880000,45190000,47860000,21290000,37240000,4150000,2090000,12290000,480000,14210000,17090000,12020000,44690000,48090000,22400000,36220000,4850000,2070000,12320000,200000,14480000,17370000,12730000,45460000,48560000,26340000,35930000,5730000,2070000,,
Ecuador,South America (region),South America (continent),country,-1.3397668,-79.3666965,65680,2018,17084359,3.84,0,0.2,0.1,0,0,0.69,0,0,0,0.02,0,12740000,26160000,11650000,2940000,2210000,17100000,9340000,3570000,1300000,4170000,1780000,12780000,26150000,11840000,3000000,2100000,18200000,6900000,3610000,1210000,4420000,1980000,12390000,26160000,12030000,3060000,2360000,18490000,7440000,3740000,1120000,5040000,3020000,,
Egypt,North Africa,Africa,country,26.2540493,29.2675469,329220,2018,98423602,3.34,0,0.13,0.78,0,0,0.07,0,0,0.01,0,0,31230000,180000,26840000,30240000,34620000,57400000,99180000,16690000,14530000,5060000,1560000,30200000,180000,27400000,29820000,35260000,55710000,106140000,16780000,14110000,4940000,2330000,30580000,180000,27970000,30920000,41120000,53880000,108870000,17030000,14070000,4780000,2610000,,
Eritrea,Sub-Saharan Africa,Africa,country,15.9500319,37.9999668,7480,2018,0,#DIV/0!,0,1,0,0,0,0,0,0,0,0,0,4590000,450000,590000,130000,20000,190000,310000,70000,0,1360000,30000,4580000,450000,600000,140000,20000,230000,330000,70000,0,1380000,30000,4610000,450000,620000,140000,20000,240000,390000,70000,0,1400000,30000,,
Spain,Western Europe,Europe,country,39.3260685,-4.8379791,326940,2018,46797754,6.99,0.17,0.06,0.23,0,0.21,0.07,0,0.03,0.18,0.05,0,40250000,-13860000,13020000,19790000,28450000,88300000,86510000,27850000,1370000,10300000,36170000,40840000,-13820000,13060000,19140000,32020000,91160000,98660000,25250000,1370000,10680000,34630000,41360000,-13880000,13100000,18450000,33620000,92310000,89940000,25460000,1370000,11330000,36220000,,
Estonia,Central Europe and Baltics,Europe,country,58.7523778,25.3319078,18610,2018,1321977,14.08,0.06,0.01,0,0.78,0,0,0,0,0.06,0.09,0,1810000,1940000,270000,430000,630000,2350000,11710000,450000,20000,620000,1000000,1850000,1930000,260000,530000,620000,2430000,12170000,430000,20000,610000,1170000,1840000,1950000,250000,520000,660000,2460000,11820000,430000,20000,610000,1140000,,
Ethiopia,Sub-Saharan Africa,Africa,country,10.2116702,38.6521203,172230,2018,109224410,1.58,0,0,0,0,0,0.93,0,0.01,0.06,0,0,109990000,32730000,4720000,3770000,4280000,5740000,0,750000,0,37950000,1880000,112290000,32730000,4810000,3820000,4260000,6430000,0,480000,0,38530000,2170000,112450000,32440000,4900000,3880000,4550000,6870000,0,500000,0,39080000,2320000,,
