name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
British Virgin Islands,Caribbean,North and Central America,country,18.4024395,-64.5661642,72,1988,16155,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Virgin Islands (U.S.),Caribbean,North and Central America,country,17.7289564,-64.75901598,45,1989,101041,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vietnam,Southeast Asia,Asia,country,13.2904027,108.4265113,376530,2018,95545959,3.94,0.34,0,0.21,0,0,0.45,0,0,0,0,0,71110000,-11370000,19930000,34130000,63010000,36490000,79760000,13070000,20010000,4060000,3040000,71150000,-12090000,20160000,35690000,64330000,38190000,71570000,15780000,19360000,4190000,3350000,70990000,-12090000,20400000,37130000,63910000,36320000,109130000,15790000,18660000,4210000,4300000,,
Vanuatu,Oceania (region),Oceania (continent),country,-16.5255069,168.1069154,870,2018,292675,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480000,0,150000,0,0,130000,50000,10000,0,40000,40000,480000,10000,160000,0,0,110000,50000,10000,0,40000,40000,480000,0,160000,10000,0,120000,50000,10000,0,40000,40000,,
Samoa,Oceania (region),Oceania (continent),country,-13.7693895,-172.12005,690,2018,196128,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200000,110000,150000,10000,0,170000,80000,50000,0,10000,50000,200000,110000,150000,10000,0,170000,80000,50000,0,10000,50000,200000,110000,150000,10000,0,180000,90000,50000,0,10000,50000,,
Yemen,Middle East,Asia,country,16.3471243,47.8915271,21760,2018,28498683,0.76,0,0.51,0.36,0,0,0,0,0.14,0,0,0,7880000,0,2780000,1110000,1010000,2640000,3880000,1950000,650000,830000,380000,7790000,0,2880000,1150000,1020000,2560000,3360000,1610000,730000,870000,350000,8190000,0,2970000,1190000,1080000,2600000,2710000,1480000,620000,920000,350000,,
South Africa,Sub-Saharan Africa,Africa,country,-28.8166236,24.991639,503110,2012,52832659,9.52,0.9,0,0,0,0.06,0,0,0.01,0.02,0,0,29170000,6690000,24030000,20620000,49060000,51510000,290930000,21130000,2710000,12380000,13230000,30780000,6760000,24430000,21550000,46110000,56710000,284430000,33970000,2760000,13850000,9790000,30030000,7070000,24840000,22480000,46760000,56860000,281880000,33840000,2820000,13930000,12400000,,
Zambia,Sub-Saharan Africa,Africa,country,-14.5189121,27.5589884,40670,2018,17351714,2.34,0.09,0.05,0,0,0,0.86,0,0,0,0,0,25470000,54410000,3370000,1550000,1540000,2070000,650000,90000,10000,4360000,120000,24420000,54200000,3490000,1590000,1620000,2060000,1900000,110000,10000,4500000,120000,24460000,52560000,3600000,1640000,1510000,2030000,2720000,130000,10000,4580000,120000,,
Zimbabwe,Sub-Saharan Africa,Africa,country,-18.4554963,29.7468414,31380,2018,14438812,2.17,0.45,0.01,0,0,0,0.53,0,0,0,0.02,0,10540000,87400000,2480000,1720000,1090000,2180000,6220000,230000,680000,3980000,150000,10780000,87290000,2540000,1790000,1120000,2240000,5410000,220000,700000,4000000,180000,11150000,87380000,2590000,1850000,1190000,2870000,6600000,230000,710000,4190000,220000,,
Oceania (region),Oceania (region),Oceania (continent),region,-18.3128,138.5156,726365,NA,41423017,17.54,0.54,0.02,0.19,0,0,0.14,0.03,0.03,0.05,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Southeast Asia,Southeast Asia,Asia,region,6.200528638,111.9316316,2560970,NA,653468148,3.92,0.38,0.03,0.36,0,0,0.18,0.02,0.01,0,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
East Asia,East Asia,Asia,region,35.94157297,108.1617286,14392416,NA,1615545126,8.91,0.62,0.01,0.09,0,0.05,0.15,0,0.02,0.04,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Eastern Europe, Balkans, Caucasus","Eastern Europe, Balkans, Caucasus",Europe,region,46.95326225,32.53378389,3421360,NA,275627098,12.41,0.21,0.01,0.4,0,0.2,0.16,0,0.01,0.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Western Europe,Western Europe,Europe,region,45.91837537,-1.554999307,1632531,NA,224872002,7.26,0.1,0.02,0.25,0,0.39,0.06,0,0.02,0.11,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Central Europe and Baltics,Central Europe and Baltics,Europe,region,50.40488931,15.84475111,2008610,NA,233150929,8.62,0.34,0.01,0.19,0.01,0.11,0.1,0,0.05,0.1,0.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Middle East,Middle East,Asia,region,31.42122012,47.78259843,2974920,NA,327920851,9.07,0.08,0.12,0.64,0.07,0.01,0.05,0,0,0.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nordic Countries,Nordic Countries,Europe,region,61.3291098,16.48137439,197490,NA,27149012,7.27,0.03,0,0.02,0.01,0.2,0.55,0.01,0,0.09,0.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North America (region),North America (region),North and Central America,region,51.0000002,-109,7428430,NA,490094159,15.16,0.27,0.01,0.3,0,0.18,0.14,0,0.01,0.06,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Central Asia,Central Asia,Asia,region,39.4009215,72.8676621,668140,NA,72507101,9.21,0.34,0,0.42,0,0,0.23,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Caribbean,Caribbean,North and Central America,region,18.4,-75,131502,NA,42278280,3.11,0.04,0.44,0.35,0.09,0,0.05,0,0,0.01,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
South America (region),South America (region),South America (continent),region,-21.0002179,-61.0006565,2238880,NA,423428278,5.29,0.05,0.05,0.2,0,0.02,0.58,0,0,0.04,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Central America,Central America,North and Central America,region,13.19631924,-87.06188084,124600,NA,48380097,2.58,0.08,0.19,0,0,0,0.49,0.07,0.03,0.06,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North Africa,North Africa,Africa,region,30.39814988,9.698685617,786560,NA,194924874,4.04,0.05,0.12,0.76,0,0,0.04,0,0,0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sub-Saharan Africa,Sub-Saharan Africa,Africa,region,-2.897330082,26.62074812,2340620,NA,1065506110,2.2,0.52,0.05,0.12,0.01,0.03,0.23,0.01,0.01,0.01,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
South Asia,South Asia,Asia,region,25.57231535,80.91765645,4194440,NA,1814354906,2.31,0.65,0.04,0.1,0,0.03,0.1,0,0.02,0.03,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Asia,NA,Asia,continent,51.2086975,89.2343748,24790886,NA,4483796132,5.53,0.3,0.03,0.34,0,0.14,0.1,0.01,0.02,0.04,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Europe,NA,Europe,continent,51,10,7259991,NA,760799041,9.54,0.4,0.03,0.19,0.01,0.08,0.19,0,0.02,0.06,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North and Central America,NA,North and Central America,continent,33.28968209,-95.49168961,7918452,NA,609639653,12.99,0.15,0.07,0.3,0,0.02,0.32,0,0.02,0.06,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
South America (continent),NA,South America (continent),continent,-21.0002179,-61.0006565,2004960,NA,394541161,5.08,0.13,0.02,0.48,0,0.21,0.12,0,0.01,0.03,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Africa,NA,Africa,continent,11.5024338,17.7578122,3127180,NA,1260430984,2.48,0.53,0.02,0.13,0.01,0.06,0.16,0,0.02,0.04,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oceania (continent),NA,Oceania (continent),continent,-18.3128,138.5156,726365,NA,41423017,17.54,0.54,0.02,0.19,0,0,0.14,0.03,0.03,0.05,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
World,World,World,world,0,0,45827834,NA,7550629988,6.07,0.38,0.03,0.23,0.01,0.1,0.16,0,0.02,0.04,0.02,0,5737280000,1267610000,1560850000,2768080000,6188610000,7878140000,14949510000,2737470000,2889310000,1437090000,1225100000,5821070000,1220050000,1583860000,2825880000,6174410000,8078450000,15167360000,2796010000,2879970000,1443420000,1280820000,5817650000,1387560000,1606860000,2902680000,6158320000,8257730000,15590950000,2882540000,2883390000,1452020000,1311600000,,
